"","Well","cellID","pos_x","pos_y","cell_Area","k10_whole","k15_whole","CX2_full"
"1","A01",1,1998,1807,261,"B","B","DC"
"2","A01",2,943,199,421,"B","B","Epithelial"
"3","A01",3,517,237,297,"B","B","B"
"4","A01",4,213,668,741,"T","CD4","CD4"
"5","A01",5,163,1677,149,"B","B","B"
"6","A01",6,1929,276,601,"B","B","B"
"7","A01",7,1486,1051,280,"B","B","Epithelial"
"8","A01",8,1451,640,369,"B","B","B"
"9","A01",9,256,1990,253,"B","B","CD4"
"10","A01",10,1824,1399,452,"T","CD8","CD8"
"11","A01",11,2015,695,215,"B","B","Endothelial"
"12","A01",12,1925,2028,395,"B","B","B"
"13","A01",13,659,1483,606,"B","Lymphatic","Lymphatic"
"14","A01",14,714,1995,114,"B","B","B"
"15","A01",15,477,1496,609,"B","B","M1"
"16","A01",16,443,153,353,"T","CD4","CD4"
"17","A01",17,531,1827,246,"B","B","CD4"
"18","A01",18,484,1444,197,"B","B","B"
"19","A01",19,565,1382,299,"Endothelial","Endothelial","Endothelial"
"20","A01",20,1222,129,155,"B","B","B"
"21","A01",22,910,1242,103,"Neutrophil","Neutrophil","Neutrophil"
"22","A01",23,1159,836,498,"B","B","Endothelial"
"23","A01",25,1335,1032,270,"Endothelial","Endothelial","Endothelial"
"24","A01",26,1243,693,320,"B","B","Endothelial"
"25","A01",27,460,1789,485,"B","B","B"
"26","A01",28,1021,375,147,"B","B","Endothelial"
"27","A01",29,1031,814,210,"Neutrophil","Neutrophil","Neutrophil"
"28","A01",30,364,1889,317,"B","B","B"
"29","A01",31,847,1978,369,"B","B","B"
"30","A01",33,895,211,614,"Epithelial","Epithelial","Epithelial"
"31","A01",34,1597,1189,461,"B","B","B"
"32","A01",35,1875,146,348,"B","Lymphatic","Lymphatic"
"33","A01",36,1649,1032,480,"B","Lymphatic","Lymphatic"
"34","A01",37,1424,102,284,"B","B","B"
"35","A01",38,359,814,1142,"Epithelial","Epithelial","Neutrophil"
"36","A01",39,630,926,193,"Neutrophil","Neutrophil","Neutrophil"
"37","A01",40,1598,828,289,"B","B","B"
"38","A01",41,707,310,696,"B","B","Epithelial"
"39","A01",42,192,1330,440,"B","B","CD4"
"40","A01",43,194,1438,207,"B","B","DC"
"41","A01",44,460,982,392,"Neutrophil","Neutrophil","Neutrophil"
"42","A01",45,1724,1916,91,"Neutrophil","Neutrophil","Neutrophil"
"43","A01",46,1930,911,320,"B","B","B"
"44","A01",47,1384,1104,325,"B","B","B"
"45","A01",48,1134,769,369,"B","B","Endothelial"
"46","A01",49,219,1430,501,"T","CD4","Treg"
"47","A01",50,313,1260,389,"B","B","B"
"48","A01",52,695,752,425,"B","B","B"
"49","A01",53,255,587,211,"Unresolvable","Unresolvable","M1"
"50","A01",54,1811,456,180,"B","B","DC"
"51","A01",55,1452,982,306,"B","B","B"
"52","A01",56,984,857,478,"Neutrophil","Neutrophil","Neutrophil"
"53","A01",57,1638,1837,192,"Neutrophil","Neutrophil","Neutrophil"
"54","A01",58,1231,297,288,"B","B","Epithelial"
"55","A01",59,521,352,287,"B","B","Endothelial"
"56","A01",60,1717,93,97,"T","CD8","CD8"
"57","A01",61,1888,799,461,"Unresolvable","Unresolvable","M1"
"58","A01",62,1412,1111,467,"B","B","B"
"59","A01",63,613,153,471,"B","B","B"
"60","A01",64,246,716,212,"B","B","B"
