"","cell_index","PointNum","pos_x","pos_y","cell_Area","k10_mesmer","k15_mesmer","mesmer_full"
"1",1,"A1",232.222222222222,2.48148148148148,27,"T","CD4","CD4"
"2",2,"A1",291.5,3.17647058823529,68,"T","CD4","Treg"
"3",3,"A1",510.577319587629,3.12371134020619,97,"B","Endothelial","Endothelial"
"4",4,"A1",1045.1914893617,2.93617021276596,47,"B","B","Epithelial"
"5",5,"A1",1671.34408602151,3.53763440860215,93,"B","B","Epithelial"
"6",6,"A1",195.094117647059,3.97647058823529,85,"T","CD8","CD8"
"7",7,"A1",409.926315789474,3.71578947368421,95,"B","B","B"
"8",8,"A1",444.237288135593,3.52542372881356,59,"B","B","B"
"9",9,"A1",534.823529411765,3.76470588235294,85,"B","B","B"
"10",10,"A1",662.34375,3.5859375,128,"B","B","B"
"11",11,"A1",982.156862745098,3.55882352941176,102,"B","B","B"
"12",12,"A1",1325.07291666667,3.66666666666667,96,"B","B","B"
"13",13,"A1",1422.46226415094,3.87735849056604,106,"B","B","Epithelial"
"14",14,"A1",1580.8813559322,3.49152542372881,59,"B","B","Epithelial"
"15",15,"A1",1771.15789473684,4.06766917293233,133,"B","B","CD4"
"16",16,"A1",1833.21111111111,4.68518518518519,270,"T","CD4","CD4"
"17",17,"A1",1871.87755102041,2.77551020408163,49,"B","B","Epithelial"
"18",18,"A1",55.3426966292135,4.91573033707865,178,"Lymphatic","Lymphatic","Lymphatic"
"19",19,"A1",82.7638888888889,4.70833333333333,144,"Lymphatic","Lymphatic","Lymphatic"
"20",20,"A1",97.3367346938775,4.29591836734694,98,"Lymphatic","Lymphatic","Lymphatic"
"21",21,"A1",252.324840764331,4.48407643312102,157,"Lymphatic","Lymphatic","Lymphatic"
"22",22,"A1",360.378640776699,4.28155339805825,103,"Lymphatic","Lymphatic","Lymphatic"
"23",23,"A1",461.822916666667,4.55208333333333,96,"B","B","CD4"
"24",24,"A1",481.847058823529,4.82352941176471,255,"B","B","M1"
"25",25,"A1",574.901234567901,3.75308641975309,81,"B","B","B"
"26",26,"A1",605.269841269841,4.37301587301587,126,"B","B","B"
"27",27,"A1",862.527472527473,5.23076923076923,182,"B","B","B"
"28",28,"A1",1268.02816901408,4.22535211267606,142,"B","B","B"
"29",29,"A1",1347.92028985507,4.47101449275362,138,"B","B","B"
"30",30,"A1",1453.0641025641,3.69230769230769,78,"B","B","B"
"31",31,"A1",1504.55128205128,5.79059829059829,234,"B","B","B"
"32",32,"A1",1630.95412844037,4.20183486238532,109,"B","B","Epithelial"
"33",33,"A1",1964.05128205128,4.16666666666667,78,"T","CD4","Treg"
"34",34,"A1",28.3224043715847,5.0655737704918,183,"Lymphatic","Lymphatic","Lymphatic"
"35",35,"A1",174.437735849057,5.60754716981132,265,"B","B","CD4"
"36",36,"A1",389.814479638009,6.28506787330317,221,"T","CD4","Treg"
"37",37,"A1",822.03821656051,5.42675159235669,157,"B","B","Epithelial"
"38",38,"A1",1202.71887550201,5.44979919678715,249,"B","B","Epithelial"
"39",39,"A1",132.412587412587,7.01398601398601,286,"B","B","B"
"40",40,"A1",694.916996047431,7.20158102766798,253,"B","B","B"
"41",41,"A1",734.40756302521,6.76050420168067,238,"B","B","B"
"42",42,"A1",958.383928571429,6.04464285714286,224,"B","B","B"
"43",43,"A1",1069.49732620321,5.67379679144385,187,"B","Epithelial","Epithelial"
"44",44,"A1",1298.02476780186,6.11764705882353,323,"B","B","B"
"45",45,"A1",1687.41081081081,5.86486486486486,185,"B","B","Epithelial"
"46",46,"A1",1999.72131147541,6.73224043715847,183,"B","B","B"
"47",47,"A1",1142.79078014184,7.05673758865248,282,"B","B","B"
"48",48,"A1",1393.64480874317,6.91256830601093,183,"B","B","Epithelial"
"49",49,"A1",1610.94843049327,8.30941704035874,446,"B","B","Epithelial"
"50",50,"A1",1804.925,7.06785714285714,280,"B","B","CD4"
"51",51,"A1",1918.95488721805,7.55889724310777,399,"B","B","B"
"52",52,"A1",215.887096774194,8.26036866359447,434,"T","CD8","CD8"
"53",53,"A1",771.029315960912,9.07491856677524,307,"Lymphatic","Lymphatic","Lymphatic"
"54",54,"A1",1378.67469879518,8.62650602409639,249,"B","B","Epithelial"
"55",55,"A1",1471.9010989011,7.43223443223443,273,"B","B","Epithelial"
"56",56,"A1",1547.61891891892,8.4,370,"B","B","B"
"57",57,"A1",1893.59237536657,8.3782991202346,341,"B","Endothelial","B"
"58",58,"A1",553.34375,9.390625,448,"B","B","B"
"59",59,"A1",891.178053830228,8.58592132505176,483,"B","B","B"
"60",60,"A1",1234.90020366599,9.5152749490835,491,"B","Endothelial","B"
"61",61,"A1",1978.52594339623,9.34433962264151,424,"B","B","B"
"62",62,"A1",111.877551020408,10.0349854227405,343,"B","B","Lymphatic"
"63",63,"A1",619.135869565217,10.2771739130435,184,"B","B","B"
"64",64,"A1",637.593886462882,9.84061135371179,458,"B","B","B"
"65",65,"A1",678.319327731092,9.60924369747899,238,"B","B","B"
"66",66,"A1",753.287833827893,9.93768545994065,337,"B","B","Lymphatic"
"67",67,"A1",787.759581881533,10.191637630662,287,"B","B","Lymphatic"
"68",68,"A1",1055.53398058252,9.89805825242718,206,"B","Epithelial","Epithelial"
"69",69,"A1",1726.00324675325,10.8701298701299,308,"B","B","Epithelial"
"70",70,"A1",1947.22966507177,9.81578947368421,418,"B","B","B"
"71",71,"A1",422.93470790378,9.6254295532646,291,"B","B","B"
"72",72,"A1",841.413793103448,10.9402298850575,435,"B","B","B"
"73",73,"A1",931.054597701149,10.1005747126437,348,"B","B","B"
"74",74,"A1",1026.66307277628,10.6927223719677,371,"B","B","B"
"75",75,"A1",1160.09210526316,10.8388157894737,304,"B","B","Epithelial"
"76",76,"A1",1179.75049115914,11.5206286836935,509,"B","B","Epithelial"
"77",77,"A1",1519.92920353982,8.73893805309734,226,"B","B","B"
"78",78,"A1",1568.81967213115,10.4808743169399,366,"B","B","B"
"79",79,"A1",1705.65702479339,11.0702479338843,484,"T","CD8","CD8"
"80",80,"A1",1783.23432343234,11.023102310231,303,"T","CD4","CD4"
"81",81,"A1",2031.03202846975,12.1298932384342,562,"B","B","Lymphatic"
"82",82,"A1",238.975308641975,11.7530864197531,243,"Unresolvable","Unresolvable","DC"
"83",83,"A1",333.749608763693,11.7574334898279,639,"Lymphatic","Lymphatic","Lymphatic"
"84",84,"A1",520.697278911565,11.3027210884354,294,"B","B","B"
"85",85,"A1",1094.66094420601,12.2596566523605,466,"B","B","Epithelial"
"86",86,"A1",1746.45437616387,11.3836126629423,537,"B","B","Epithelial"
"87",87,"A1",8.33098591549296,14.6596244131455,426,"B","B","CD4"
"88",88,"A1",187.10101010101,11.8080808080808,99,"T","CD8","CD8"
"89",89,"A1",372.275204359673,13.4386920980926,367,"Lymphatic","Lymphatic","Lymphatic"
"90",90,"A1",913.814070351759,12.6407035175879,398,"B","B","B"
"91",91,"A1",1436.8755186722,13.1078838174274,482,"B","B","B"
"92",92,"A1",1487.35106382979,12.8368794326241,282,"B","B","Epithelial"
"93",93,"A1",2012.88537549407,12.3794466403162,253,"B","B","B"
"94",94,"A1",278.477178423237,13.8941908713693,482,"B","B","CD4"
