software,celltype,n,pct
cellXpress 2,B,441640,47.756223101710674
cellXpress 2,Th,185000,20.004757888362636
cellXpress 2,Tc,39080,4.225869936633578
cellXpress 2,Treg,13900,1.5030601872877873
cellXpress 2,DC,21340,2.3075758558792363
cellXpress 2,M1,25260,2.731460455459677
cellXpress 2,M2,10860,1.1743333549600987
cellXpress 2,Neutro.,43320,4.684357360669565
cellXpress 2,Lymph.,30460,3.293756352862302
cellXpress 2,Endo.,60080,6.496680291528796
cellXpress 2,Epi.,53840,5.8219252146456455
DeepCell,B,467060,41.33128030866164
DeepCell,Th,278580,24.65222470001062
DeepCell,Tc,53360,4.721956744893986
DeepCell,Treg,13100,1.159250999964603
DeepCell,DC,45400,4.0175569006406855
DeepCell,M1,36800,3.2565218930303357
DeepCell,M2,17500,1.548617748044317
DeepCell,Neutro.,37460,3.314926905242292
DeepCell,Lymph.,43500,3.849421259424445
DeepCell,Endo.,78500,6.94665675551308
DeepCell,Epi.,58780,5.2015857845739975
