Marker,Region,Name
Tbet,cell_region,T.bet
FOXP3,cell_region,FOXP3
TCRgd,nondna_region,TCR.g.d
CD30,nondna_region,CD30
PDL1,nondna_region,PD.L1
CD4,nondna_region,CD4
CD5,nondna_region,CD5
CD25,nondna_region,CD25
CD20,nondna_region,CD20
CD11c,nondna_region,CD11c
CD16,nondna_region,CD16
EGFR,nondna_region,EGFR
CD206,nondna_region,CD206
CD69,nondna_region,CD69
CD57,nondna_region,CD57
HLADR,nondna_region,HLA.DR
BCL2,nondna_region,BCL.2
CD7,nondna_region,CD7
CD45RO,nondna_region,CD45RO
CD163,nondna_region,CD163
Vimentin,nondna_region,Vimentin
CD15,nondna_region,CD15
CD31,nondna_region,CD31
CD45,nondna_region,CD45
MCT,cell_region,MCT
CD56,nondna_region,CD56
Tim3,nondna_region,Tim.3
CCR6,nondna_region,CCR6
CD2,nondna_region,CD2
MUC1,nondna_region,MUC.1
GranzymeB,cell_region,Granzyme.B
LAG3,nondna_region,LAG.3
PD1,nondna_region,PD.1
IDO1,cell_region,IDO.1
VISTA,nondna_region,VISTA
TCRb,nondna_region,TCR.b
CD45RA,nondna_region,CD45RA
CD44,nondna_region,CD44
CD8,nondna_region,CD8
bcatenin,nondna_region,b.Catenin
CD11b,nondna_region,CD11b
CK,nondna_region,CK
CD68,nondna_region,CD68
CollagenIV,nondna_region,Collagen.IV
Podoplanin,nondna_region,Podoplanin
MMP9,nondna_region,MMP.9
CD162,nondna_region,CD162
aSMA,nondna_region,a.SMA
